Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
385,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Restaurant availability,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,Yes,Pay as you go,Facebook,WhatsApp,Imo,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,High Security ,Higher Transaction Limit,Maybe,It’s not safe to transact online,,,Payment is difficult,Less option to choose from,,Maybe,Attractive discounts,Reliable call center service,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Public,Financial Institution,Single with no kid,Patharghata,"Up to 50,000",Aspirant,I use internet mainly for socialization
386,Phone call,"Yes, at a discounted price",Twice a month,Twice a month,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Vicinity,"Yes, at a discounted price",Gifts (T-shirt/Mug),,,At times,Monthly unlimited,Instagram,Twitter,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"2,001 - 3,000",Up to 10%,,,,Maybe,,,,I purchase online,Can't find what is being looked for,,Maybe,Easy to make payment/Convenient,Efficient customer service,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Manufacturing,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,
387,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Restaurant availability,,Cash discounts,Mobile Talk time top up,Internet balance top up,At times,Pay as you go,Facebook,WhatsApp,Imo,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,High Security ,Higher Transaction Limit,Maybe,It’s not safe to transact online,,,Payment is difficult,Less option to choose from,,Maybe,Easy to make payment/Convenient,,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Own Business,Financial Institution,Married with 1 kid,Patharghata,"Up to 50,000",Aspirant,I use internet mainly for socialization
388,Sms,"Yes, but at regular price",Twice a month,Once a month,Once/twice in 6 months,I prefer having some light snacks like sandwich,"501-1,000",,"Yes, at a discounted price",Cash discounts,,,At times,Monthly Limited,YouTube,Instagram,Twitter,Up to 500,Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,High Security ,,Maybe,,,,I purchase online,,,Yes,Don't have to travel,,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with more than 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I find adapting to new technology difficult
389,,,,,,,,Vicinity,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,No,I don't use internet in my phone,Facebook,WhatsApp,Imo,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Higher Transaction Limit,Maybe,No bargaining option,It is not safe to transact online,,Payment is difficult,Less option to choose from,,Maybe,Can transfer funds between accounts easily,,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Private - Not for Profit,Media,Married with more than 1 kid,Nasirabad,"Up to 50,000",Aspirant,I use internet mainly for socialization
390,Phone call,"Yes, at a premium price",Twice a month,Once a month,Once/twice in 6 months,I prefer having some light snacks like sandwich,"501-1,000",Vicinity,"Yes, at a discounted price",Gifts (T-shirt/Mug),Mobile Talk time top up,,Yes,Monthly Limited,Facebook,WhatsApp,Imo,500 - 700,Twice a month,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Higher Transaction Limit,No,No bargaining option,It is not safe to transact online,,Payment is difficult,Less option to choose from,,Maybe,Can transfer funds between accounts easily,,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Self-employed,Private - Not for Profit,Education,Married with more than 1 kid,Sugandha,"50,001-100,000",Emerging,I use internet mainly for socialization
391,Sms,"Yes, at a discounted price",Never,Never,,I prefer having some soft drinks with popcorns/French fries,Up to 500,Restaurant availability,"Yes, at a discounted price",Cash discounts,,,Yes,I don't use internet in my phone,YouTube,Instagram,Twitter,Up to 500,Never,I don't shop online,,,I don't shop online,Up to 10%,Easy to use mobile app,High Security ,,Maybe,,,,No bargaining facility,,,No,Don't have to travel,,,SnapTap,Cash delivered,Mobile balance top up,,Male,41-50 years,Baby Boomers,Self-employed,Own Business,Education,Married with more than 1 kid,Sugandha,"50,001-100,000",Emerging,I find adapting to new technology difficult
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe,Don't have to travel,,,MaxPay,Cash delivered,,,Female,41-50 years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Panchlaish,"50,001-100,000",Emerging,
393,Sms,"Yes, at a discounted price",Never,Never,,I prefer complementary meal/food service,Up to 500,Restaurant availability,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Monthly Limited,Facebook,WhatsApp,Imo,500 - 700,Twice a month,Accessories,,,500 - 700,11-30%,More privacy assurance,High Security ,Longer transaction time-out,No,Poor customer service,No bargaining option,It is not safe to transact online,Payment is difficult,Less option to choose from,,Maybe,Reliable call center service,Attractive discounts,,SnapTap,Cash delivered,Mobile balance top up,,Male,41-50 years,Baby Boomers,Unemployed,Not Applicable,Not employed,Married with no kids,Sugandha,"Up to 50,000",Aspirant,I find adapting to new technology difficult
394,,,,,,,,,,,,,,,WhatsApp,,,Up to 500,Once/twice in 6 months,Cloths,Car/Vehicle,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,High Security ,,Maybe,,,,,,,Yes,Don't have to travel,,,SnapTap,Cash delivered,,,Female,41-50 years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I find adapting to new technology difficult
395,Phone call,"Yes, at a discounted price",Twice a month,Once/twice in 6 months,Once/twice in 6 months,I don't,I don't go to movies/sports/events,Vicinity,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Pay as you go,Facebook,WhatsApp,Imo,Up to 500,Once/twice in a year,Accessories,,,Up to 500,Up to 10%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,Maybe,Poor customer service,No bargaining option,It is not safe to transact online,Payment is difficult,Less option to choose from,,Maybe,Reliable call center service,Attractive discounts,,SnapTap,Cash delivered,Mobile balance top up,,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,Sugandha,"50,001-100,000",Emerging,I find adapting to new technology difficult
396,Phone call,"Yes, at a discounted price",Twice a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having chocolates/ice-creams,"1,001-2,000",Vicinity,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,WhatsApp,,,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,,500 - 700,Up to 10%,High Security ,Easy to use mobile app,,Maybe,,,,No option for seat selection,,,No,Don't have to travel,,,SnapTap,Cash delivered,Mobile balance top up,,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Single with no kid,Chawk Bazar,"50,001-100,000",Emerging,I like to explore new things
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chime,Bank Account,Cash delivered,,Female,41-50 years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Chawk Bazar,"50,001-100,000",Emerging,I use internet mainly for socialization
398,Sms,"Yes, but at regular price",Twice a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Vicinity,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,WhatsApp,Imo,500 - 700,Twice a month,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Easy to use mobile app,Maybe,Poor customer service,No bargaining option,It is not safe to transact online,Cannot trust online transaction,Payment is difficult,,Maybe,Reliable call center service,Attractive discounts,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with no kids,Chawk Bazar,"50,001-100,000",Emerging,I use internet mainly for work/business
399,Email,"Yes, at a discounted price",Twice a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Vicinity,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Monthly Limited,Facebook,WhatsApp,Imo,"1,001 - 2,000",Once/twice in 6 months,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Easy to use mobile app,Maybe,Poor customer service,No bargaining option,It is not safe to transact online,Cannot trust online transaction,Payment is difficult,,Maybe,Efficient customer service,,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Private - Not for Profit,NGO,Married with no kids,OR Nizam Road,"200,001-300,000",Affluent,I use internet mainly for work/business
400,Sms,"Yes, at a discounted price",More than twice a month,More than twice a month,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Restaurant availability,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Pay as you go,Facebook,WhatsApp,Imo,Up to 500,Once/twice in a year,Furniture,Accessories,,"701 - 1,000",I don't shop online,More privacy assurance,Longer transaction time-out,,Maybe,Poor customer service,Less option to choose from,,Cannot trust online transaction,Payment is difficult,Poor customer service,Maybe,Efficient customer service,,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Private - Not for Profit,NGO,Single with no kid,Chawk Bazar,"50,001-100,000",Emerging,I like to explore new things
401,,,,,,,,,"Yes, at a discounted price",Cash discounts,,,At times,Monthly Limited,WhatsApp,Instagram,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,High Security ,Easy to use mobile app,,Maybe,,,,No option for seat selection,,,Maybe,Don't have to travel,,,SnapTap,Bank Account,Cash delivered,,Female,41-50 years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I find adapting to new technology difficult
402,Phone call,"Yes, at a discounted price",Twice a month,Once/twice in 6 months,Once/twice in 6 months,I prefer complementary meal/food service,"501-1,000",Vicinity,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Pay as you go,Facebook,WhatsApp,Imo,"1,001 - 2,000",Once/twice in a year,Furniture,Accessories,,"701 - 1,000",I don't shop online,More privacy assurance,Longer transaction time-out,,Maybe,,,,Cannot trust online transaction,Payment is difficult,Poor customer service,Maybe,Don't have to travel,Efficient customer service,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,50+ years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Chawk Bazar,"50,001-100,000",Emerging,I use internet mainly for socialization
403,Phone call,"Yes, but at regular price",Twice a month,Once/twice in a year,Once/twice in a year,I prefer complementary meal/food service,"501-1,000",Vicinity,"Yes, at regular price",Cash discounts,,,Yes,Pay as you go,YouTube,Instagram,Twitter,"1,001 - 2,000",Twice a month,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,High Security ,Easy to use mobile app,,Yes,I am more comfortable visiting physically,,,No option for seat selection,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Cash delivered,Mobile balance top up,,Female,50+ years,Baby Boomers,Homemaker,Not Applicable,Manufacturing,Married with more than 1 kid,Khulshi,"100,001-200,000",Established,I use internet mainly for socialization
404,Phone call,"Yes, but at regular price",More than twice a month,More than twice a month,,I prefer complementary meal/food service,"501-1,000",Restaurant availability,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Pay as you go,Facebook,WhatsApp,Imo,"1,001 - 2,000",Twice a month,Furniture,Accessories,,"1,001 - 2,000",Up to 10%,More privacy assurance,Longer transaction time-out,,Yes,Less option to choose from,,,Cannot trust online transaction,Payment is difficult,Poor customer service,No,Don't have to travel,Efficient customer service,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,50+ years,Baby Boomers,Employed,Own Business,RMG/Textile,Married with more than 1 kid,OR Nizam Road,"200,001-300,000",Affluent,Shopping online is my passion
405,,,,,,,,,,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,YouTube,Instagram,Twitter,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",11-30%,High Security ,Easy to use mobile app,,Yes,I am more comfortable visiting physically,,,No option for seat selection,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Cash delivered,Mobile balance top up,,Female,50+ years,Baby Boomers,Employed,Private - Not for Profit,NGO,Single with no kid,Khulshi,"Up to 50,000",Aspirant,I use internet mainly for work/business
406,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having tea/coffee,"501-1,000",Vicinity,"Yes, at a discounted price",Cash discounts,Cashback offer,,Yes,Monthly Limited,Facebook,WhatsApp,Imo,500 - 700,Once/twice in 6 months,Furniture,Accessories,,"701 - 1,000",31-50%,High Security ,Easy to use mobile app,,Yes,I am more comfortable visiting physically,,,No option for seat selection,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Cash delivered,Mobile balance top up,,Female,50+ years,Baby Boomers,Employed,Private - Not for Profit,NGO,Married with 1 kid,Panchlaish,"Up to 50,000",Aspirant,I use internet mainly for work/business
407,Sms,"Yes, but at regular price",More than twice a month,More than twice a month,,I prefer having chocolates/ice-creams,"1,001-2,000",Restaurant availability,,,,,,,,,,,,,,,,I don't shop online,More privacy assurance,Longer transaction time-out,,No,,,,Cannot trust online transaction,Payment is difficult,Poor customer service,Maybe,Can transfer funds between accounts easily,Easy to make payment/Convenient,,Chime,Cash delivered,Mobile balance top up,,Male,50+ years,Baby Boomers,Unemployed,Not Applicable,Not employed,Married with more than 1 kid,OR Nizam Road,"100,001-200,000",Established,Shopping online is my passion
408,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I don't,,,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,YouTube,Instagram,Twitter,"2,001 - 3,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,High Security ,Easy to use mobile app,,Yes,I am more comfortable visiting physically,,,No option for seat selection,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Cash delivered,Mobile balance top up,,Female,50+ years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,Nasirabad,"100,001-200,000",Established,Shopping online is my passion
409,,,,,,,"2,001-3,000",Vicinity,"Yes, at a discounted price",Cash discounts,Cashback offer,,At times,Pay as you go,Facebook,WhatsApp,Imo,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,,Maybe,,,,Cannot trust online transaction,Payment is difficult,Poor customer service,Maybe,Efficient customer service,Easy to make payment/Convenient,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,50+ years,Baby Boomers,Self-employed,Not Applicable,Healthcare,Married with 1 kid,Khulshi,"200,001-300,000",Affluent,I think online payment system is not secured yet
